external_source_group,external_feature_name,excel_dataset_id,target_name,best_precursor_score,best_reverse_lag_score,precursor_minus_reverse_score
kp_dst,dst_std_daily,気象庁_地震月報_カタログ編,m6_flag,0.04144862170301476,0.0192144723914095,0.022234149311605264
kp_dst,dst_std_daily,気象庁_地震月報_カタログ編,max_magnitude,0.022631578864956398,0.012526745956090591,0.010104832908865807
kp_dst,dst_std_daily,気象庁_地震月報_カタログ編,energy,0.04831813072409545,0.06021079969181611,-0.011892668967720656
kp_dst,dst_std_daily,気象庁_地震月報_カタログ編,mean_depth,0.01468771383090202,0.017728061786753534,-0.003040347955851513
kp_dst,dst_std_daily,気象庁_地震月報_カタログ編,shallow_count,0.03670564806181795,0.03712466201549184,-0.00041901395367389266
kp_dst,dst_std_daily,気象庁_地震月報_カタログ編,deep_count,0.02887127464179772,0.014316029674047638,0.014555244967750083
kp_dst,dst_range_daily,気象庁_地震月報_カタログ編,count,0.030990821016549677,0.028003248295707897,0.0029875727208417795
kp_dst,dst_range_daily,気象庁_地震月報_カタログ編,m3_flag,0.007348564105887439,0.005121960207435102,0.0022266038984523366
kp_dst,dst_range_daily,気象庁_地震月報_カタログ編,m4_flag,0.027896790165614957,0.016865170849597853,0.011031619316017104
kp_dst,dst_range_daily,気象庁_地震月報_カタログ編,m5_flag,0.014820169871183592,0.03048922882609572,-0.015669058954912128
kp_dst,dst_range_daily,気象庁_地震月報_カタログ編,m6_flag,0.03552681775048391,0.019075809523981784,0.01645100822650213
kp_dst,dst_range_daily,気象庁_地震月報_カタログ編,max_magnitude,0.02022876148526333,0.011843818482616906,0.008384943002646425
kp_dst,dst_range_daily,気象庁_地震月報_カタログ編,energy,0.061866562356367616,0.04659378049953501,0.015272781856832604
kp_dst,dst_range_daily,気象庁_地震月報_カタログ編,mean_depth,0.01565819173611491,0.017598220381380855,-0.0019400286452659447
kp_dst,dst_range_daily,気象庁_地震月報_カタログ編,shallow_count,0.035064601407048125,0.037175703598136836,-0.002111102191088711
kp_dst,dst_range_daily,気象庁_地震月報_カタログ編,deep_count,0.026570183686186844,0.01763904759195958,0.008931136094227264
kp_dst,dst_negative_peak_abs,気象庁_地震月報_カタログ編,count,0.03919662199517626,0.03322733885196567,0.005969283143210595
kp_dst,dst_negative_peak_abs,気象庁_地震月報_カタログ編,m3_flag,0.013779938869612,0.010046143831354938,0.0037337950382570623
kp_dst,dst_negative_peak_abs,気象庁_地震月報_カタログ編,m4_flag,0.024020685918435904,0.023979741192662465,4.094472577343897e-05
kp_dst,dst_negative_peak_abs,気象庁_地震月報_カタログ編,m5_flag,0.015240184279876789,0.010474463676972412,0.004765720602904377
kp_dst,dst_negative_peak_abs,気象庁_地震月報_カタログ編,m6_flag,0.027034835249356487,0.02091589067311937,0.006118944576237118
kp_dst,dst_negative_peak_abs,気象庁_地震月報_カタログ編,max_magnitude,0.0261540727646502,0.012464737368113083,0.013689335396537118
kp_dst,dst_negative_peak_abs,気象庁_地震月報_カタログ編,energy,0.02754075331576061,0.03219730212860646,-0.004656548812845853
kp_dst,dst_negative_peak_abs,気象庁_地震月報_カタログ編,mean_depth,0.02070398630198045,0.013392323965851929,0.007311662336128523
kp_dst,dst_negative_peak_abs,気象庁_地震月報_カタログ編,shallow_count,0.03860930378109064,0.03784983539068534,0.0007594683904053046
kp_dst,dst_negative_peak_abs,気象庁_地震月報_カタログ編,deep_count,0.03742679508193076,0.015007238219012795,0.022419556862917966
kp_dst,storm_flag_dst_le_minus30,気象庁_地震月報_カタログ編,count,0.075230315601107,0.03649668960746869,0.03873362599363831
kp_dst,storm_flag_dst_le_minus30,気象庁_地震月報_カタログ編,m3_flag,0.07329708553714596,0.0682641128185505,0.0050329727185954715
kp_dst,storm_flag_dst_le_minus30,気象庁_地震月報_カタログ編,m4_flag,0.06314138848583656,0.05642495978463943,0.006716428701197132
kp_dst,storm_flag_dst_le_minus30,気象庁_地震月報_カタログ編,m5_flag,0.029388719401527295,0.05155733888811685,-0.022168619486589557
kp_dst,storm_flag_dst_le_minus30,気象庁_地震月報_カタログ編,m6_flag,0.054876702736469704,0.02556457738299472,0.029312125353474983
kp_dst,storm_flag_dst_le_minus30,気象庁_地震月報_カタログ編,max_magnitude,0.06439137402387483,0.06262303843193669,0.0017683355919381472
kp_dst,storm_flag_dst_le_minus30,気象庁_地震月報_カタログ編,energy,0.034973018905774554,0.026775668814734827,0.008197350091039727
kp_dst,storm_flag_dst_le_minus30,気象庁_地震月報_カタログ編,mean_depth,0.07880007237560867,0.07017932378065418,0.008620748594954486
kp_dst,storm_flag_dst_le_minus30,気象庁_地震月報_カタログ編,shallow_count,0.05831714616969546,0.032245835372110114,0.026071310797585345
kp_dst,storm_flag_dst_le_minus30,気象庁_地震月報_カタログ編,deep_count,0.07592859971490035,0.05845149209541235,0.017477107619487994
kp_dst,storm_flag_dst_le_minus50,気象庁_地震月報_カタログ編,count,0.038300596871086376,0.02621415823048553,0.012086438640600845
kp_dst,storm_flag_dst_le_minus50,気象庁_地震月報_カタログ編,m3_flag,0.01025117065195964,0.0075210790535541186,0.002730091598405521
kp_dst,storm_flag_dst_le_minus50,気象庁_地震月報_カタログ編,m4_flag,0.026993690120767994,0.02740574971201732,-0.0004120595912493266
kp_dst,storm_flag_dst_le_minus50,気象庁_地震月報_カタログ編,m5_flag,0.01932556503910511,0.02442839631105295,-0.005102831271947838
kp_dst,storm_flag_dst_le_minus50,気象庁_地震月報_カタログ編,m6_flag,0.022858245525183923,0.03687404182507653,-0.014015796299892608
kp_dst,storm_flag_dst_le_minus50,気象庁_地震月報_カタログ編,max_magnitude,0.024104366940430944,0.023083613430261614,0.0010207535101693296
kp_dst,storm_flag_dst_le_minus50,気象庁_地震月報_カタログ編,energy,0.029177099309326562,0.03977518289786325,-0.010598083588536686
kp_dst,storm_flag_dst_le_minus50,気象庁_地震月報_カタログ編,mean_depth,0.020451264711361206,0.019214311234991018,0.0012369534763701888
kp_dst,storm_flag_dst_le_minus50,気象庁_地震月報_カタログ編,shallow_count,0.03365982637933636,0.018800939043324656,0.014858887336011702
kp_dst,storm_flag_dst_le_minus50,気象庁_地震月報_カタログ編,deep_count,0.03226744724777245,0.024765515352924844,0.007501931894847609
kp_dst,storm_flag_dst_le_minus100,気象庁_地震月報_カタログ編,count,0.0632360397353549,0.050356995397282986,0.01287904433807191
kp_dst,storm_flag_dst_le_minus100,気象庁_地震月報_カタログ編,m3_flag,0.05323053119491089,0.034387951942013974,0.018842579252896917
kp_dst,storm_flag_dst_le_minus100,気象庁_地震月報_カタログ編,m4_flag,0.040369794702677896,0.030443184790721032,0.009926609911956864
kp_dst,storm_flag_dst_le_minus100,気象庁_地震月報_カタログ編,m5_flag,0.04723431506080785,0.03018504423725212,0.017049270823555732
kp_dst,storm_flag_dst_le_minus100,気象庁_地震月報_カタログ編,m6_flag,0.03708298532373815,0.024687760734716138,0.012395224589022015
kp_dst,storm_flag_dst_le_minus100,気象庁_地震月報_カタログ編,max_magnitude,0.05998419007067671,0.02870015204555992,0.031284038025116784
kp_dst,storm_flag_dst_le_minus100,気象庁_地震月報_カタログ編,energy,0.013616979783754618,0.1062947029528724,-0.09267772316911778
kp_dst,storm_flag_dst_le_minus100,気象庁_地震月報_カタログ編,mean_depth,0.04980908555562121,0.03215654081210625,0.017652544743514964
kp_dst,storm_flag_dst_le_minus100,気象庁_地震月報_カタログ編,shallow_count,0.06263152846041131,0.044998226533784866,0.017633301926626446
kp_dst,storm_flag_dst_le_minus100,気象庁_地震月報_カタログ編,deep_count,0.048663770740677785,0.03568780928755747,0.012975961453120313
kp_dst,kp_diff_1d,気象庁_地震月報_カタログ編,count,0.02503123486376198,0.035072269895147015,-0.010041035031385034
kp_dst,kp_diff_1d,気象庁_地震月報_カタログ編,m3_flag,0.007983297321488168,0.002639151020699473,0.005344146300788695
kp_dst,kp_diff_1d,気象庁_地震月報_カタログ編,m4_flag,0.029497532906703275,0.02160985761243195,0.007887675294271326
kp_dst,kp_diff_1d,気象庁_地震月報_カタログ編,m5_flag,0.02712972198928937,0.035542764436791045,-0.008413042447501674
kp_dst,kp_diff_1d,気象庁_地震月報_カタログ編,m6_flag,0.037382924919622244,0.02367674774496482,0.013706177174657424
kp_dst,kp_diff_1d,気象庁_地震月報_カタログ編,max_magnitude,0.01989793756283888,0.023010472511505457,-0.003112534948666576
kp_dst,kp_diff_1d,気象庁_地震月報_カタログ編,energy,0.05602944258476966,0.03825921879846542,0.01777022378630424
kp_dst,kp_diff_1d,気象庁_地震月報_カタログ編,mean_depth,0.019768891720504587,0.017364341846795056,0.0024045498737095307
kp_dst,kp_diff_1d,気象庁_地震月報_カタログ編,shallow_count,0.028641725317814986,0.028248222065374886,0.0003935032524401
kp_dst,kp_diff_1d,気象庁_地震月報_カタログ編,deep_count,0.04966042267188081,0.02419952052620027,0.02546090214568054
kp_dst,kp_diff_3d,気象庁_地震月報_カタログ編,count,0.040232321421774665,0.03345178796483959,0.006780533456935078
kp_dst,kp_diff_3d,気象庁_地震月報_カタログ編,m3_flag,0.003570430824291685,0.002822892639758251,0.000747538184533434
kp_dst,kp_diff_3d,気象庁_地震月報_カタログ編,m4_flag,0.020423425860304077,0.02525275640378533,-0.004829330543481253
kp_dst,kp_diff_3d,気象庁_地震月報_カタログ編,m5_flag,0.01599032926113353,0.034774263886113634,-0.018783934624980105
kp_dst,kp_diff_3d,気象庁_地震月報_カタログ編,m6_flag,0.04813396059275272,0.011758687043214045,0.03637527354953867
kp_dst,kp_diff_3d,気象庁_地震月報_カタログ編,max_magnitude,0.022851358888079765,0.015546973437240012,0.007304385450839753
kp_dst,kp_diff_3d,気象庁_地震月報_カタログ編,energy,0.032862459464541346,0.03819825776862704,-0.005335798304085697
kp_dst,kp_diff_3d,気象庁_地震月報_カタログ編,mean_depth,0.011478942357505172,0.010791905574482466,0.000687036783022706
kp_dst,kp_diff_3d,気象庁_地震月報_カタログ編,shallow_count,0.02198755741504924,0.03761473211540433,-0.01562717470035509
kp_dst,kp_diff_3d,気象庁_地震月報_カタログ編,deep_count,0.03144656415860627,0.02858292462869702,0.0028636395299092496
kp_dst,kp_rolling_mean_3d,気象庁_地震月報_カタログ編,count,0.08400393509404903,0.07676252204326282,0.007241413050786211
kp_dst,kp_rolling_mean_3d,気象庁_地震月報_カタログ編,m3_flag,0.11805349730752646,0.10824105192879667,0.009812445378729787
kp_dst,kp_rolling_mean_3d,気象庁_地震月報_カタログ編,m4_flag,0.1038904404615655,0.09485864508154809,0.009031795380017402
kp_dst,kp_rolling_mean_3d,気象庁_地震月報_カタログ編,m5_flag,0.06629136370151413,0.034014594075152484,0.03227676962636165
kp_dst,kp_rolling_mean_3d,気象庁_地震月報_カタログ編,m6_flag,0.05870464880905513,0.01385767977250616,0.044846969036548966
kp_dst,kp_rolling_mean_3d,気象庁_地震月報_カタログ編,max_magnitude,0.10272510812436904,0.08554500875485888,0.017180099369510163
kp_dst,kp_rolling_mean_3d,気象庁_地震月報_カタログ編,energy,0.02860889958948811,0.024978923737161082,0.003629975852327029
kp_dst,kp_rolling_mean_3d,気象庁_地震月報_カタログ編,mean_depth,0.11098170189230115,0.11823983500431465,-0.007258133112013496
kp_dst,kp_rolling_mean_3d,気象庁_地震月報_カタログ編,shallow_count,0.06860152766173619,0.05359475459379237,0.015006773067943818
