external_source_group,external_feature_name,base_feature_name,feature_adjustment,excel_dataset_id,excel_dataset_name,excel_category,target_name,target_type,spatial_unit,region,lag,lag_direction,n_samples,model_type,correlation,spearman,partial_correlation,ols_coefficient,ols_p_value,logistic_coefficient,logistic_odds_ratio,AUC,average_precision,brier_score,poisson_coefficient,poisson_rate_ratio,poisson_p_value,negative_control_correlation,negative_control_auc,negative_control_pass,best_reverse_lag_score,precursor_minus_reverse_score,fdr_q_value,train_period,test_period,status,error_message,reject_reasons
kp_dst,kp_rolling_mean_3d,kp_rolling_mean_3d,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,m6_flag,event_catalog,national,national,14D,external_precedes_target,1813,univariate_calendar_autocorrelation_adjusted,0.05870464880905513,0.009102071367704273,0.05870464880905513,0.025710854638436614,0.012330503933831756,0.01344873510932335,1.0135395761227808,0.563393174048682,0.1315823684502636,0.27751020050391684,,,,0.029882672625875243,0.5199199217898663,True,0.01385767977250616,0.044846969036548966,0.06806137856368775,2020-01-15..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_dst,kp_rolling_mean_3d,kp_rolling_mean_3d,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,max_magnitude,event_catalog,national,national,14D,external_precedes_target,1813,univariate_calendar_autocorrelation_adjusted,0.10272510812436904,0.1141568419212393,0.10272510812436904,0.18081404209244129,1.1087309675410797e-05,,,,,,,,,0.0656068282240456,,True,0.08554500875485888,0.017180099369510163,0.0002121645678627992,2020-01-15..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_dst,kp_rolling_mean_3d,kp_rolling_mean_3d,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,mean_depth,event_catalog,national,national,14D,external_precedes_target,1813,univariate_calendar_autocorrelation_adjusted,0.1086891244430198,0.12149323213484123,0.1086891244430198,0.8198068152086004,3.2726327349207504e-06,,,,,,,,,0.06581125449921027,,True,0.11823983500431465,-0.007258133112013496,7.237145023398028e-05,2020-01-15..2023-06-30,2023-07-01..2024-12-31,ok,,fail_reverse_lag
kp_dst,kp_rolling_mean_3d,kp_rolling_mean_3d,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,deep_count,event_catalog,national,national,14D,external_precedes_target,1813,univariate_calendar_autocorrelation_adjusted,0.06022200865652127,0.06399316712355528,0.06022200865652127,0.3685066945912431,0.010244707425811931,,,,,,0.14149894731444768,1.1519992915671597,,0.04573022979750596,,True,0.0749550476001392,0.0093277376931368,0.05863500307208163,2020-01-15..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_dst,kp_rolling_mean_3d,kp_rolling_mean_3d,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,count,event_catalog,national,national,30D,external_precedes_target,1797,univariate_calendar_autocorrelation_adjusted,0.06885968999783171,0.09353019918374503,0.06885968999783171,22.21839277919652,0.0034517619748960864,,,,,,0.1171748064162559,1.1243159501555033,,-0.043159991227137894,,True,0.07676252204326282,0.007241413050786211,0.024001852231638775,2020-01-31..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_dst,kp_rolling_mean_3d,kp_rolling_mean_3d,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,m3_flag,event_catalog,national,national,30D,external_precedes_target,1797,univariate_calendar_autocorrelation_adjusted,0.11805349730752646,0.13086386023258847,0.11805349730752646,0.03381755452284987,4.7326529943968585e-07,0.033625538170514564,1.0341972668100583,0.6111798467195931,0.8304796175666995,0.2733932208705321,,,,0.06120935858020394,0.5620510705571021,True,0.10824105192879667,0.009812445378729787,1.2727402768843287e-05,2020-01-31..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_dst,kp_rolling_mean_3d,kp_rolling_mean_3d,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,m4_flag,event_catalog,national,national,30D,external_precedes_target,1797,univariate_calendar_autocorrelation_adjusted,0.05929098517962704,0.12329451247594013,0.05929098517962704,0.025126900561617482,0.011854898909385448,0.025842472939993307,1.0261792847348057,0.5781906995690108,0.7705417928924723,0.2775233755395537,,,,0.036173492810215126,0.5480773021128982,True,0.09485864508154809,0.009031795380017402,0.06604112251141296,2020-01-31..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_dst,kp_rolling_mean_3d,kp_rolling_mean_3d,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,max_magnitude,event_catalog,national,national,30D,external_precedes_target,1797,univariate_calendar_autocorrelation_adjusted,0.07898907045175092,0.09339088231763908,0.07898907045175092,0.1399539670337291,0.0007877775256531717,,,,,,,,,0.048918947666249976,,True,0.08554500875485888,0.017180099369510163,0.007039626211942651,2020-01-31..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_dst,kp_rolling_mean_3d,kp_rolling_mean_3d,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,mean_depth,event_catalog,national,national,30D,external_precedes_target,1797,univariate_calendar_autocorrelation_adjusted,0.10271015662511207,0.11717691594677428,0.10271015662511207,0.7821383998823924,1.215980283723286e-05,,,,,,,,,0.05906193977872529,,True,0.11823983500431465,-0.007258133112013496,0.0002294683324569123,2020-01-31..2023-06-30,2023-07-01..2024-12-31,ok,,fail_reverse_lag
kp_dst,kp_rolling_mean_3d,kp_rolling_mean_3d,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,shallow_count,event_catalog,national,national,30D,external_precedes_target,1797,univariate_calendar_autocorrelation_adjusted,0.06124471351309882,0.08879813235907948,0.06124471351309882,14.356791565044382,0.009331565404791927,,,,,,0.0813666232623553,1.0847685250479344,,-0.03649934266009779,,True,0.05359475459379237,0.015006773067943818,0.054338521226674305,2020-01-31..2023-06-30,2023-07-01..2024-12-31,ok,,
