kp_dst_feature_name,base_feature_name,feature_adjustment,excel_dataset_id,excel_dataset_name,excel_category,target_name,target_type,spatial_unit,region,lag,lag_direction,n_samples,model_type,correlation,spearman,partial_correlation,ols_coefficient,ols_p_value,logistic_coefficient,logistic_odds_ratio,AUC,average_precision,poisson_coefficient,poisson_rate_ratio,poisson_p_value,negative_control_correlation,negative_control_pass,train_period,test_period,status,error_message,fdr_q_value
kp_rolling_mean_3d,kp_rolling_mean_3d,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,max_magnitude,event_catalog,national,national,30D,external_precedes_target,1797,calendar_autocorrelation_adjusted,0.07898907045175092,0.09339088231763908,0.07898907045175092,0.1399539670337291,,,,,,,,,-0.02307381843352082,True,2020-01-31..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_rolling_mean_3d,kp_rolling_mean_3d,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,energy,event_catalog,national,national,30D,external_precedes_target,1797,calendar_autocorrelation_adjusted,-0.006964314592248485,-0.012270968355698967,-0.006964314592248485,-69106203.15721954,,,,,,,,,0.03754852944405062,False,2020-01-31..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_rolling_mean_3d,kp_rolling_mean_3d,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,mean_depth,event_catalog,national,national,30D,external_precedes_target,1797,calendar_autocorrelation_adjusted,0.10271015662511207,0.11717691594677428,0.10271015662511207,0.7821383998823924,,,,,,,,,-0.012654144165450772,True,2020-01-31..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_rolling_mean_3d,kp_rolling_mean_3d,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,shallow_count,event_catalog,national,national,30D,external_precedes_target,1797,calendar_autocorrelation_adjusted,0.06124471351309882,0.08879813235907948,0.06124471351309882,14.356791565044382,,,,,,0.0813666232623553,1.0847685250479344,,-0.03649934266009779,True,2020-01-31..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_rolling_mean_3d,kp_rolling_mean_3d,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,deep_count,event_catalog,national,national,30D,external_precedes_target,1797,calendar_autocorrelation_adjusted,0.07889316963695438,0.08625177490452555,0.07889316963695438,0.48672014490890547,,,,,,0.12418312186707191,1.1322231868404802,,0.0167586343584487,True,2020-01-31..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_rolling_max_3d,kp_rolling,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,count,event_catalog,national,national,-30D,target_precedes_external,1797,calendar_autocorrelation_adjusted,0.04285052499289162,0.018795642274306544,0.04285052499289162,7.650153410151393,,,,,,0.0787020121430488,1.0818818863669457,,-0.03972689062163936,True,2020-01-01..2023-06-30,2023-07-01..2024-12-01,ok,,
kp_rolling_max_3d,kp_rolling,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,m3_flag,event_catalog,national,national,-30D,target_precedes_external,1797,calendar_autocorrelation_adjusted,0.051756368422323056,0.03614215339637707,0.051756368422323056,0.008131334488865405,,0.0621895271060249,1.064164013542399,0.5801310257162413,0.8170583452529978,,,,-0.04020278442584417,True,2020-01-01..2023-06-30,2023-07-01..2024-12-01,ok,,
kp_rolling_max_3d,kp_rolling,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,m4_flag,event_catalog,national,national,-30D,target_precedes_external,1797,calendar_autocorrelation_adjusted,0.03817980491590396,0.04287353822393449,0.03817980491590396,0.009094815967992923,,0.06345736156283484,1.065514052978885,0.5630900520826176,0.771403530941538,,,,-0.05041524120937829,False,2020-01-01..2023-06-30,2023-07-01..2024-12-01,ok,,
kp_rolling_max_3d,kp_rolling,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,m5_flag,event_catalog,national,national,-30D,target_precedes_external,1797,calendar_autocorrelation_adjusted,0.003475090826937278,-0.018475873153931066,0.003475090826937278,0.0012706261721945901,,0.003374196666891067,1.0033798956765214,0.5076071824303208,0.31901287040118803,,,,0.0296267799868084,False,2020-01-01..2023-06-30,2023-07-01..2024-12-01,ok,,
kp_rolling_max_3d,kp_rolling,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,m6_flag,event_catalog,national,national,-30D,target_precedes_external,1797,calendar_autocorrelation_adjusted,-0.002000466649722203,-0.02699436022909574,-0.002000466649722203,-0.0005034950760142163,,-0.0026346735956362267,0.9973687941107482,0.5060926737633062,0.11121181515441551,,,,0.012798820054619558,False,2020-01-01..2023-06-30,2023-07-01..2024-12-01,ok,,
