excel_dataset_id,category,provider,name,description,url,data_type,data_items,public_status,format,access_notes,inferred_temporal_type,inferred_geo_type,usable_status,sheet_name,source_row
地震調査研究推進本部_長周期地震動予測地図_地震調査研究推進本部,防災関連,地震調査研究推進本部,長周期地震動予測地図（地震調査研究推進本部）,ある特定の大地震が発生した場合にその周辺はもとより遠方に生じる長い周期の地震動の分布を示したものです。代表地点における長周期地震動の速度波形データや速度応答スペクトルデータ、地下構造モデルデータ、各予測地図画像をダウンロードすることができます。,https://www.jishin.go.jp/evaluation/seismic_hazard_map/lpshm/,,,,,,waveform,mesh,requires_manual_download,データ詳細,133
防災科学技術研究所_J_SHIS_地震ハザードステーション,防災関連,防災科学技術研究所,J-SHIS 地震ハザードステーション,地震動予測地図のデータや、計算に係るパラメータ等のデータをダウンロードできます。,https://www.j-shis.bosai.go.jp/,,,,,,static_spatial,mesh,static_only,データ詳細,134
内閣府_南海トラフの巨大地震モデル検討会において検討された震度分布_浸水域等に係るデータ提供について,防災関連,内閣府,南海トラフの巨大地震モデル検討会において検討された震度分布・浸水域等に係るデータ提供について,南海トラフの巨大地震モデル検討会において検討された強震断層モデル、津波断層モデルに係るデータを提供しています（申込制）。,http://www.bousai.go.jp/jishin/nankai/model/data_teikyou.html,,,,,,waveform,unknown,probe_only,データ詳細,135
内閣府_首都直下地震モデル検討会において検討された震度分布_浸水域等に係るデータ提供について,防災関連,内閣府,首都直下地震モデル検討会において検討された震度分布・浸水域等に係るデータ提供について,首都直下地震モデル検討会において検討された強震断層モデル、津波断層モデルに係るデータを提供しています（申込制）モウシコミセイ,http://www.bousai.go.jp/kaigirep/chuobou/senmon/shutochokkajishinmodel/data_teikyou.html,,,,,,waveform,unknown,probe_only,データ詳細,136
内閣府_中央防災会議専門調査会において検討された震度分布_浸水域等に係るデータ提供について,防災関連,内閣府,中央防災会議専門調査会において検討された震度分布・浸水域等に係るデータ提供について,中央防災会議専門調査会において過去に検討された強震断層モデル、津波断層モデルに係るデータを提供しています（申込制）。,http://www.bousai.go.jp/kaigirep/chuobou/senmon/tounankai_nankaijishin/datakoukai/index.html,,,,,,waveform,unknown,probe_only,データ詳細,137
国土交通省_重ねるハザードマップ,防災関連,国土交通省,重ねるハザードマップ,浸水想定区域や道路情報、危険箇所などを地図や写真に重ねてシームレスに閲覧できます。,http://disaportal.gsi.go.jp/maps/index.html#5/35.371135/138.713379,,,,,,static_spatial,mesh,static_only,データ詳細,138
国土交通省_わがまちハザードマップ,防災関連,国土交通省,わがまちハザードマップ,各市町村が作成したハザードマップへリンクします。地域ごとの様々な種類のハザードマップを閲覧できます。,http://disaportal.gsi.go.jp/hazardmap/,,,,,,static_spatial,mesh,static_only,データ詳細,139
気象庁_過去の地震津波災害,防災関連,気象庁,過去の地震津波災害,明治以降平成７年（1995年）までに日本で100人以上の死者・行方不明者を出した地震・津波についてその概要を掲載しています。,https://www.data.jma.go.jp/svd/eqev/data/higai/higai-1995.html,,,,,,unknown,national,probe_only,データ詳細,140
気象庁_日本付近で発生した主な被害地震_平成_年以降,防災関連,気象庁,日本付近で発生した主な被害地震（平成８年以降）,平成８年（1996年）以降に、日本付近で発生した人的被害を伴った地震についてその概要を掲載しています。,https://www.data.jma.go.jp/svd/eqev/data/higai/higai1996-new.html,,,,,,unknown,national,probe_only,データ詳細,141
防災科学技術研究所_ディフェンスの加震実験映像,防災関連,防災科学技術研究所,Ｅ－ディフェンスの加震実験映像,実大規模の建物等を震動台に載せて、2011年東北地方太平洋沖地震（東日本大震災）や1995年兵庫県南部地震（阪神・淡路大震災）のような巨大地震の揺れを再現したＥ－ディフェンスの震動実験の様子を動画で配信。,http://www.bosai.go.jp/hyogo/research/movie/movie.html,,,,,,unknown,national,probe_only,データ詳細,142
産業技術総合研究所_液状化危険度マップ_速報_LiquickMap,防災関連,産業技術総合研究所,液状化危険度マップ（速報） / LiquickMap,250mメッシュ分解能の地震動マップを提供する地震動マップ即時推定システム（QuiQuake）上で、その地震での液状化発生の危険度を予測する液状化危険度マップです。,https://site.quietplus.kke.co.jp/,,,,,,unknown,mesh,probe_only,データ詳細,143
地震調査研究推進本部_観測点一覧,その他【地震観測点】,地震調査研究推進本部,観測点一覧,各機関が設置した地震計やGNSS等の様々な観測施設を、分布図と一覧表でまとめています。,https://www.jishin.go.jp/database/observation_station/,,,,,,time_series,station,usable,データ詳細,144
地震調査研究推進本部_毎月の地震活動,その他【過去の研究・観測成果のまとめ】,地震調査研究推進本部,毎月の地震活動,毎月および臨時に開催される地震調査委員会で行われた国内の地震活動の評価です。,https://www.jishin.go.jp/evaluation/seismicity_monthly/,,,,,,unknown,unknown,probe_only,データ詳細,145
国土地理院_地震予知連絡会の会報,その他【過去の研究・観測成果のまとめ】,国土地理院,地震予知連絡会の会報,地震予知連絡会に提出された資料等は「地震予知連絡会会報」として取りまとめられ、年に２回発行されています。,http://cais.gsi.go.jp/YOCHIREN/report.html,,,,,,static_metadata,unknown,probe_only,データ詳細,146
気象庁_地震_火山月報_防災編,その他【過去の研究・観測成果のまとめ】,気象庁,地震・火山月報（防災編）,毎月の日本の地震活動・火山活動及び世界の主な地震や火山活動をとりまとめて掲載しています。／毎年１月に発行される12月の月報には各年の地震活動・火山活動のまとめも掲載しています。,https://www.data.jma.go.jp/svd/eqev/data/gaikyo/,,,,,,unknown,national,probe_only,データ詳細,147
地震調査研究推進本部_文献_歴史資料に関する情報,その他【文献】,地震調査研究推進本部,文献・歴史資料に関する情報,地震に関する文献等を検索・閲覧することができます。,https://www.jishin.go.jp/database/#bunken_database,,,,,,static_metadata,unknown,probe_only,データ詳細,148
産業技術総合研究所_共著関連データベース,その他【研究者】,産業技術総合研究所,共著関連データベース,日本地質文献データベースは1957年以来，地質調査総合センターの蔵書のなかから日本地域及び日本人が著者のものを収録し，地質に関する文献検索サービスを提供しています。,https://staff.aist.go.jp/miyagi.iso14000/nkysdb/index.html,,,,,,static_spatial,polygon,static_only,データ詳細,149
防災科学技術研究所_地震の基礎知識とその観測,その他【地震の体系的知識】,防災科学技術研究所,地震の基礎知識とその観測,地震という自然現象、およびその観測の仕方や観測体制などについて体系的に説明しています。,http://www.hinet.bosai.go.jp/about_earthquake/1stpage.htm,,,,,,static_metadata,unknown,probe_only,データ詳細,150
