date,external_source_group,external_feature_name,base_feature_name,feature_adjustment,value,missing_ratio,valid_count
2020-06-15,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.625,0.0,1
2020-06-16,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.2501250000000002,0.0,1
2020-06-17,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.833375,0.0,1
2020-06-18,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.9167500000000001,0.0,1
2020-06-19,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.9167500000000001,0.0,1
2020-06-20,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.291625,0.0,1
2020-06-21,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.7917500000000001,0.0,1
2020-06-22,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.41650000000000004,0.0,1
2020-06-23,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.70825,0.0,1
2020-06-24,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.750125,0.0,1
2020-06-25,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.541625,0.0,1
2020-06-26,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.249875,0.0,1
2020-06-27,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.5415,0.0,1
2020-06-28,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.625,0.0,1
2020-06-29,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.416625,0.0,1
2020-06-30,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.958375,0.0,1
2020-07-01,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.041625,0.0,1
2020-07-02,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.708375,0.0,1
2020-07-03,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.708375,0.0,1
2020-07-04,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.624875,0.0,1
2020-07-05,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.16675,0.0,1
2020-07-06,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.0415,0.0,1
2020-07-07,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.6248750000000001,0.0,1
2020-07-08,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.333125,0.0,1
2020-07-09,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.625,0.0,1
2020-07-10,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.37475,0.0,1
2020-07-11,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.45825000000000005,0.0,1
2020-07-12,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.33325000000000005,0.0,1
2020-07-13,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.458375,0.0,1
2020-07-14,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.916625,0.0,1
2020-07-15,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.041625,0.0,1
2020-07-16,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.791625,0.0,1
2020-07-17,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.874875,0.0,1
2020-07-18,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.749875,0.0,1
2020-07-19,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.8335,0.0,1
2020-07-20,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.666625,0.0,1
2020-07-21,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.9167500000000001,0.0,1
2020-07-22,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.58325,0.0,1
2020-07-23,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.499875,0.0,1
2020-07-24,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.5001249999999997,0.0,1
2020-07-25,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.500125,0.0,1
2020-07-26,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.5415,0.0,1
2020-07-27,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.7085,0.0,1
2020-07-28,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.8335,0.0,1
