external_source_id,external_feature_name,base_feature_name,feature_adjustment,excel_dataset_id,target_name,lag,lag_direction,n_samples,model_type,coefficient,p_value,fdr_q_value,standardized_effect_size,correlation,spearman,AUC,average_precision,RMSE,MAE,pseudo_R2,poisson_rate_ratio,negative_control_correlation,negative_control_pass,confounders,train_period,test_period,status,error_message
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,m5_flag,3D,external_precedes_target,1824,calendar_adjusted_correlation+ols+logistic_probe,-0.03771686793465949,0.19607843137254902,0.5442423692684475,-0.03127009369299691,-0.03127009369299691,0.03233168584865104,0.47842381143162394,,,,,-2.346787850943299,0.021971062066010422,True,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-04..2023-07-02,2023-07-03..2024-12-31,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,m5_flag,7D,external_precedes_target,1820,calendar_adjusted_correlation+ols+logistic_probe,0.017597409125850155,0.5098039215686274,0.855216271037772,0.0152362849983046,0.0152362849983046,0.037987267479910124,0.4867240675387722,,,,,-2.4018667326197307,0.0223387562321977,False,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-08..2023-07-04,2023-07-05..2024-12-31,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,m5_flag,14D,external_precedes_target,1813,calendar_adjusted_correlation+ols+logistic_probe,0.017926276878901814,0.6078431372549019,0.9031099026486368,0.015533047932795141,0.015533047932795141,0.029360393536219317,0.4741583628891516,,,,,-2.6405614055463515,0.004914549758412102,True,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-15..2023-07-06,2023-07-07..2024-12-31,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,energy,-14D,target_precedes_external,1813,calendar_adjusted_correlation+ols+logistic_probe,-77389.02865803562,0.5098039215686274,0.855216271037772,-0.006033074245048026,-0.006033074245048026,0.0806644792562166,,,,,,-2.6115537848605586,-0.003346593385642184,True,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-01..2023-06-22,2023-06-23..2024-12-17,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,energy,-7D,target_precedes_external,1820,calendar_adjusted_correlation+ols+logistic_probe,-66695.1558641074,0.47058823529411764,0.8341298114519071,-0.005183717334775269,-0.005183717334775269,0.1643543639426382,,,,,,-2.466666666666667,-0.002846761101978984,True,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-01..2023-06-27,2023-06-28..2024-12-24,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,energy,-3D,target_precedes_external,1824,calendar_adjusted_correlation+ols+logistic_probe,310817.9449813731,0.0392156862745098,0.16866961838498842,0.0241343286601504,0.0241343286601504,0.25602160924595246,,,,,,-2.872611464968153,-0.002375817590115675,True,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-01..2023-06-29,2023-06-30..2024-12-28,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,energy,-1D,target_precedes_external,1826,calendar_adjusted_correlation+ols+logistic_probe,2743311.7597033787,0.0196078431372549,0.09914077990746861,0.21325005496905383,0.21325005496905383,0.26805165733451386,,,,,,-2.637450199203187,0.0006787589194271026,True,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,energy,1D,external_precedes_target,1826,calendar_adjusted_correlation+ols+logistic_probe,-134114.51777265733,0.3137254901960784,0.7045613005027339,-0.010420521011208403,-0.010420521011208403,0.09831721563849888,,,,,,-2.387755102040816,0.0005670542730660722,True,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-02..2023-07-02,2023-07-03..2024-12-31,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,energy,3D,external_precedes_target,1824,calendar_adjusted_correlation+ols+logistic_probe,-149234.23167713362,0.2549019607843137,0.6293875574921326,-0.011595560942954847,-0.011595560942954847,0.15993469253126655,,,,,,-2.3467889908257082,-0.0057850145764686695,True,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-04..2023-07-02,2023-07-03..2024-12-31,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,energy,7D,external_precedes_target,1820,calendar_adjusted_correlation+ols+logistic_probe,-92039.91783078066,0.39215686274509803,0.7718779146431672,-0.007152592190778566,-0.007152592190778566,0.1515762748083492,,,,,,-2.4018691588784966,-0.006148660518266514,True,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-08..2023-07-04,2023-07-05..2024-12-31,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,energy,14D,external_precedes_target,1813,calendar_adjusted_correlation+ols+logistic_probe,-85767.86313292998,0.4117647058823529,0.7918552036199095,-0.006680558939716759,-0.006680558939716759,0.15831228986035656,,,,,,-2.6405622489959835,0.0014835921370225799,True,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-15..2023-07-06,2023-07-07..2024-12-31,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,max_magnitude,-14D,target_precedes_external,1813,calendar_adjusted_correlation+ols+logistic_probe,3.661387535676046e-05,0.5686274509803921,0.8865564415458691,0.012626014941506662,0.012626014941506662,-0.020688989467511194,,,,,,-2.6115534417791118,0.044619100914692525,False,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-01..2023-06-22,2023-06-23..2024-12-17,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,max_magnitude,-7D,target_precedes_external,1820,calendar_adjusted_correlation+ols+logistic_probe,2.501835464496083e-05,0.7450980392156863,0.9421682266162524,0.008570599214590923,0.008570599214590923,-0.03949271400384627,,,,,,-2.466666593213205,0.02738556968541403,False,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-01..2023-06-27,2023-06-28..2024-12-24,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,max_magnitude,-3D,target_precedes_external,1824,calendar_adjusted_correlation+ols+logistic_probe,2.646653190560634e-05,0.803921568627451,0.9579998831707459,0.009041571625624205,0.009041571625624205,-0.05916500131896329,,,,,,-2.8726114041100264,0.04000955212119781,False,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-01..2023-06-29,2023-06-30..2024-12-28,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,max_magnitude,-1D,target_precedes_external,1826,calendar_adjusted_correlation+ols+logistic_probe,5.8845853804492205e-05,0.37254901960784315,0.752202170829072,0.02010764242601288,0.02010764242601288,-0.07212179700527044,,,,,,-2.637450158357739,0.04718515277515756,False,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,max_magnitude,1D,external_precedes_target,1826,calendar_adjusted_correlation+ols+logistic_probe,-3.937456455766252e-06,0.9607843137254902,0.9939205194891247,-0.0013444096213625397,-0.0013444096213625397,-0.06548863626200845,,,,,,-2.3877550427549044,0.05226238404683012,False,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-02..2023-07-02,2023-07-03..2024-12-31,ok,
