external_source_id,external_feature_name,excel_dataset_id,target_name,lag,lag_direction,n_samples,model_type,coefficient,p_value,fdr_q_value,standardized_effect_size,correlation,spearman,AUC,average_precision,RMSE,MAE,pseudo_R2,poisson_rate_ratio,train_period,test_period,status,error_message
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,m5_flag,-1D,target_precedes_external,1826,correlation+ols+logistic_probe,0.013844005951967624,0.6274509803921569,0.7449945677479436,0.011650034548135313,0.011650034548135313,0.023464790698263783,0.5120491540546128,,,,,0.8785791509586774,2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,m5_flag,-12H,target_precedes_external,1826,correlation+ols+logistic_probe,0.013844005951967624,0.6862745098039216,0.7938908211099349,0.011650034548135313,0.011650034548135313,0.023464790698263783,0.5120491540546128,,,,,0.8785791509586774,2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,m5_flag,-6H,target_precedes_external,1826,correlation+ols+logistic_probe,0.013844005951967624,0.7254901960784313,0.8192486530371245,0.011650034548135313,0.011650034548135313,0.023464790698263783,0.5120491540546128,,,,,0.8785791509586774,2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,m5_flag,-1H,target_precedes_external,1826,correlation+ols+logistic_probe,0.013844005951967624,0.5882352941176471,0.7144558228149559,0.011650034548135313,0.011650034548135313,0.023464790698263783,0.5120491540546128,,,,,0.8785791509586774,2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,m5_flag,1H,external_precedes_target,1827,correlation+ols+logistic_probe,0.08422244032910761,0.0196078431372549,0.04084967320261438,0.06899882103717898,0.06899882103717898,0.06572915172352467,0.5384083188908145,,,,,1.3260471616340763,2020-01-01..2023-07-01,2023-07-02..2024-12-31,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,m5_flag,6H,external_precedes_target,1827,correlation+ols+logistic_probe,0.08422244032910761,0.0196078431372549,0.04084967320261438,0.06899882103717898,0.06899882103717898,0.06572915172352467,0.5384083188908145,,,,,1.3260471616340763,2020-01-01..2023-07-01,2023-07-02..2024-12-31,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,m5_flag,12H,external_precedes_target,1827,correlation+ols+logistic_probe,0.08422244032910761,0.0196078431372549,0.04084967320261438,0.06899882103717898,0.06899882103717898,0.06572915172352467,0.5384083188908145,,,,,1.3260471616340763,2020-01-01..2023-07-01,2023-07-02..2024-12-31,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,m5_flag,1D,external_precedes_target,1826,correlation+ols+logistic_probe,0.05287851253615694,0.058823529411764705,0.10652148183216949,0.04430903170056225,0.04430903170056225,0.01985782354257336,0.5096749843549016,,,,,0.8415816200635258,2020-01-02..2023-07-02,2023-07-03..2024-12-31,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,m5_flag,3D,external_precedes_target,1824,correlation+ols+logistic_probe,-0.03636746805271463,0.29411764705882354,0.4123144584936778,-0.02940303532135999,-0.02940303532135999,-0.0024726981756506322,0.4956764155982906,,,,,0.8982985556960652,2020-01-04..2023-07-02,2023-07-03..2024-12-31,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,m5_flag,7D,external_precedes_target,1820,correlation+ols+logistic_probe,0.01852639142675838,0.5098039215686274,0.6462303231151616,0.015618146680685679,0.015618146680685679,0.008590274047655515,0.5028019977516904,,,,,0.977571388436658,2020-01-08..2023-07-04,2023-07-05..2024-12-31,ok,
